org	machine	machine_name	std_name	std_name_long	ex	em	width	laser
BCLS	Cytoflex	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
BCLS	Cytoflex	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
BCLS	Cytoflex	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
BCLS	Cytoflex	FL9-A	v450	V450/PB 	405	450	45	violet
BCLS	Cytoflex	FL10-A	v500	V500-C/Aqua	405	525	40	violet
BCLS	Cytoflex	FL1-A	fitc	FITC	488	525	40	blue
BCLS	Cytoflex	FL2-A	pe	PE	488	585	42	blue
BCLS	Cytoflex	FL5-A	pc7	PE-Cy7	488	780	60	blue
BCLS	Cytoflex	FL3-A	pc55	PerCP-Cy5.5	488	690	50	blue
BCLS	Cytoflex	FL6-A	apc	APC	638	660	20	red
BCLS	Cytoflex	FL8-A	ac7	APC-Cy7	638	780	60	red
BCLS	CytoflexLX	Time	time	Time	NA	NA	NA	NA
BCLS	CytoflexLX	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
BCLS	CytoflexLX	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
BCLS	CytoflexLX	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
BCLS	CytoflexLX	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
BCLS	CytoflexLX	FL12-A	v450	V450/PB 	405	450	45	violet
BCLS	CytoflexLX	FL13-A	v500	V500-C/Aqua	405	525	40	violet
BCLS	CytoflexLX	FL1-A	fitc	FITC	488	525	40	blue
BCLS	CytoflexLX	FL4-A	pe	PE	561	585	42	yellow
BCLS	CytoflexLX	FL8-A	pc7	PE-Cy7	561	763	43	yellow
BCLS	CytoflexLX	FL3-A	pc55	PerCP-Cy5.5	488	690	50	blue
BCLS	CytoflexLX	FL9-A	apc	APC	638	660	10	red
BCLS	CytoflexLX	FL11-A	ac7	APC-Cy7	638	763	43	red
BCLS	CytoflexLXNUV	Time	time	Time	NA	NA	NA	NA
BCLS	CytoflexLXNUV	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
BCLS	CytoflexLXNUV	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
BCLS	CytoflexLXNUV	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
BCLS	CytoflexLXNUV	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
BCLS	CytoflexLXNUV	FL12-A	v450	V450/PB 	405	450	45	violet
BCLS	CytoflexLXNUV	FL13-A	v500	V500-C/Aqua	405	525	40	violet
BCLS	CytoflexLXNUV	FL1-A	fitc	FITC	488	525	40	blue
BCLS	CytoflexLXNUV	FL4-A	pe	PE	561	585	42	yellow
