material	sop	exp	rep	org	machine
cryoPBMC-APC-CD19-fmo	3	1	1	LMNXSEA	ImageStreamX-1
cryoPBMC-APC-Cy7-fmo	3	1	1	LMNXSEA	ImageStreamX-1
cryoPBMC-AqLD-fmo	3	1	1	LMNXSEA	ImageStreamX-1
cryoPBMC-AxPB-fmo	3	1	1	LMNXSEA	ImageStreamX-1
cryoPBMC-FITC-fmo	3	1	1	LMNXSEA	ImageStreamX-1
cryoPBMC-PE-Cy7-fmo	3	1	1	LMNXSEA	ImageStreamX-1
cryoPBMC-PE-fmo	3	1	1	LMNXSEA	ImageStreamX-1
cryoPBMC-PerCP-Cy5.5-fmo	3	1	1	LMNXSEA	ImageStreamX-1
panel1-cryoPBMC-1	3	1	1	LMNXSEA	ImageStreamX-1
panel1-cryoPBMC-1	3	1	2	LMNXSEA	ImageStreamX-1
panel1-cryoPBMC-1	3	1	3	LMNXSEA	ImageStreamX-1
panel1-cryoPBMC-2	3	1	1	LMNXSEA	ImageStreamX-1
panel1-cryoPBMC-2	3	1	2	LMNXSEA	ImageStreamX-1
panel1-cryoPBMC-2	3	1	3	LMNXSEA	ImageStreamX-1
panel1-cryoPBMC-3	3	1	1	LMNXSEA	ImageStreamX-1
panel1-cryoPBMC-3	3	1	2	LMNXSEA	ImageStreamX-1
panel1-cryoPBMC-3	3	1	3	LMNXSEA	ImageStreamX-1
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	1	LMNXSEA	ImageStreamX-1
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	2	LMNXSEA	ImageStreamX-1
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	1	LMNXSEA	ImageStreamX-1
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	2	LMNXSEA	ImageStreamX-1
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	1	LMNXSEA	ImageStreamX-1
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	2	LMNXSEA	ImageStreamX-1
TruCount-CD45-TruCytes	3	3	1	LMNXSEA	ImageStreamX-1
TruCount-CD45-TruCytes	3	3	2	LMNXSEA	ImageStreamX-1
panel1-TruCytes	3	4	1	LMNXSEA	ImageStreamX-1
panel1-TruCytes	3	4	2	LMNXSEA	ImageStreamX-1
panel1-TruCytes	3	4	3	LMNXSEA	ImageStreamX-1
FC-APC-Cy7	1	1	1	MSKCC	Aurora
FC-APC	1	1	1	MSKCC	Aurora
FC-FITC	1	1	1	MSKCC	Aurora
FC-PE-Cy7	1	1	1	MSKCC	Aurora
FC-PerCP-Cy5.5	1	1	1	MSKCC	Aurora
FC-PE	1	1	1	MSKCC	Aurora
FC-V450	1	1	1	MSKCC	Aurora
FC-V500-C	1	1	1	MSKCC	Aurora
RCP-30-5A	1	1	1	MSKCC	Aurora
APC-cryoPBMC	2	1	1	MSKCC	Aurora
APC-Cy7-cryoPBMC	2	1	1	MSKCC	Aurora
AqLD-lyoLeuk	2	1	1	MSKCC	Aurora
AxPB-lyoLeuk	2	1	1	MSKCC	Aurora
FITC-cryoPBMC	2	1	1	MSKCC	Aurora
PE-cryoPBMC	2	1	1	MSKCC	Aurora
PE-Cy7-cryoPBMC	2	1	1	MSKCC	Aurora
PerCP-Cy5.5-cryoPBMC	2	1	1	MSKCC	Aurora
APC-AbCTotal	2	2	1	MSKCC	Aurora
APC-Cy7-AbCTotal	2	2	1	MSKCC	Aurora
FITC-AbCTotal	2	2	1	MSKCC	Aurora
PE-AbCTotal	2	2	1	MSKCC	Aurora
PE-Cy7-AbCTotal	2	2	1	MSKCC	Aurora
PerCP-Cy5.5-AbCTotal	2	2	1	MSKCC	Aurora
APC-Versacmp	2	3	1	MSKCC	Aurora
APC-Cy7-Versacmp	2	3	1	MSKCC	Aurora
FITC-Versacmp	2	3	1	MSKCC	Aurora
PE-Versacmp	2	3	1	MSKCC	Aurora
PE-Cy7-Versacmp	2	3	1	MSKCC	Aurora
PerCP-Cy5.5-Versacmp	2	3	1	MSKCC	Aurora
AqBead	2	4	1	MSKCC	Aurora
PBBead	2	4	1	MSKCC	Aurora
cryoPBMC-APC-CD14-fmo	3	1	1	MSKCC	Aurora
cryoPBMC-APC-CD19-fmo	3	1	1	MSKCC	Aurora
cryoPBMC-APC-Cy7-fmo	3	1	1	MSKCC	Aurora
cryoPBMC-AqLD-fmo	3	1	1	MSKCC	Aurora
cryoPBMC-AxPB-fmo	3	1	1	MSKCC	Aurora
cryoPBMC-FITC-fmo	3	1	1	MSKCC	Aurora
cryoPBMC-PE-Cy7-fmo	3	1	1	MSKCC	Aurora
cryoPBMC-PE-fmo	3	1	1	MSKCC	Aurora
cryoPBMC-PerCP-Cy5.5-fmo	3	1	1	MSKCC	Aurora
panel1-cryoPBMC-1	3	1	1	MSKCC	Aurora
panel1-cryoPBMC-1	3	1	2	MSKCC	Aurora
panel1-cryoPBMC-1	3	1	3	MSKCC	Aurora
panel1-cryoPBMC-2	3	1	1	MSKCC	Aurora
panel1-cryoPBMC-2	3	1	2	MSKCC	Aurora
panel1-cryoPBMC-2	3	1	3	MSKCC	Aurora
panel1-cryoPBMC-3	3	1	1	MSKCC	Aurora
panel1-cryoPBMC-3	3	1	2	MSKCC	Aurora
panel1-cryoPBMC-3	3	1	3	MSKCC	Aurora
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	1	MSKCC	Aurora
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	2	MSKCC	Aurora
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	1	MSKCC	Aurora
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	2	MSKCC	Aurora
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	1	MSKCC	Aurora
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	2	MSKCC	Aurora
TruCount-CD45-TruCytes	3	3	1	MSKCC	Aurora
TruCount-CD45-TruCytes	3	3	2	MSKCC	Aurora
panel1-TruCytes	3	4	1	MSKCC	Aurora
panel1-TruCytes	3	4	2	MSKCC	Aurora
panel1-TruCytes	3	4	3	MSKCC	Aurora
FC-APC-Cy7	1	1	1	NIBSC	AriaIII
FC-APC	1	1	1	NIBSC	AriaIII
FC-FITC	1	1	1	NIBSC	AriaIII
FC-PE-Cy7	1	1	1	NIBSC	AriaIII
FC-PerCP-Cy5.5	1	1	1	NIBSC	AriaIII
FC-PE	1	1	1	NIBSC	AriaIII
FC-V450	1	1	1	NIBSC	AriaIII
FC-V500-C	1	1	1	NIBSC	AriaIII
RCP-30-5A	1	1	1	NIBSC	AriaIII
APC-cryoPBMC	2	1	1	NIBSC	AriaIII
APC-Cy7-cryoPBMC	2	1	1	NIBSC	AriaIII
AqLD-lyoLeuk	2	1	1	NIBSC	AriaIII
AxPB-lyoLeuk	2	1	1	NIBSC	AriaIII
FITC-cryoPBMC	2	1	1	NIBSC	AriaIII
PE-cryoPBMC	2	1	1	NIBSC	AriaIII
PE-Cy7-cryoPBMC	2	1	1	NIBSC	AriaIII
PerCP-Cy5.5-cryoPBMC	2	1	1	NIBSC	AriaIII
APC-AbCTotal	2	2	1	NIBSC	AriaIII
APC-Cy7-AbCTotal	2	2	1	NIBSC	AriaIII
FITC-AbCTotal	2	2	1	NIBSC	AriaIII
PE-AbCTotal	2	2	1	NIBSC	AriaIII
PE-Cy7-AbCTotal	2	2	1	NIBSC	AriaIII
PerCP-Cy5.5-AbCTotal	2	2	1	NIBSC	AriaIII
APC-Versacmp	2	3	1	NIBSC	AriaIII
APC-Cy7-Versacmp	2	3	1	NIBSC	AriaIII
FITC-Versacmp	2	3	1	NIBSC	AriaIII
PE-Versacmp	2	3	1	NIBSC	AriaIII
PE-Cy7-Versacmp	2	3	1	NIBSC	AriaIII
PerCP-Cy5.5-Versacmp	2	3	1	NIBSC	AriaIII
AqBead	2	4	1	NIBSC	AriaIII
PBBead	2	4	1	NIBSC	AriaIII
cryoPBMC-APC-CD14-fmo	3	1	1	NIBSC	AriaIII
cryoPBMC-APC-CD19-fmo	3	1	1	NIBSC	AriaIII
cryoPBMC-APC-Cy7-fmo	3	1	1	NIBSC	AriaIII
cryoPBMC-AqLD-fmo	3	1	1	NIBSC	AriaIII
cryoPBMC-AxPB-fmo	3	1	1	NIBSC	AriaIII
cryoPBMC-FITC-fmo	3	1	1	NIBSC	AriaIII
cryoPBMC-PE-Cy7-fmo	3	1	1	NIBSC	AriaIII
cryoPBMC-PE-fmo	3	1	1	NIBSC	AriaIII
cryoPBMC-PerCP-Cy5.5-fmo	3	1	1	NIBSC	AriaIII
panel1-cryoPBMC-1	3	1	1	NIBSC	AriaIII
panel1-cryoPBMC-1	3	1	2	NIBSC	AriaIII
panel1-cryoPBMC-1	3	1	3	NIBSC	AriaIII
panel1-cryoPBMC-2	3	1	1	NIBSC	AriaIII
panel1-cryoPBMC-2	3	1	2	NIBSC	AriaIII
panel1-cryoPBMC-2	3	1	3	NIBSC	AriaIII
panel1-cryoPBMC-3	3	1	1	NIBSC	AriaIII
panel1-cryoPBMC-3	3	1	2	NIBSC	AriaIII
panel1-cryoPBMC-3	3	1	3	NIBSC	AriaIII
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	1	NIBSC	AriaIII
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	2	NIBSC	AriaIII
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	1	NIBSC	AriaIII
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	2	NIBSC	AriaIII
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	1	NIBSC	AriaIII
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	2	NIBSC	AriaIII
TruCount-CD45-TruCytes	3	3	1	NIBSC	AriaIII
TruCount-CD45-TruCytes	3	3	2	NIBSC	AriaIII
panel1-TruCytes	3	4	1	NIBSC	AriaIII
panel1-TruCytes	3	4	2	NIBSC	AriaIII
panel1-TruCytes	3	4	3	NIBSC	AriaIII
FC-APC-Cy7	1	1	1	NIBSC	CantoII-1
FC-APC	1	1	1	NIBSC	CantoII-1
FC-FITC	1	1	1	NIBSC	CantoII-1
FC-PE-Cy7	1	1	1	NIBSC	CantoII-1
FC-PerCP-Cy5.5	1	1	1	NIBSC	CantoII-1
FC-PE	1	1	1	NIBSC	CantoII-1
FC-V450	1	1	1	NIBSC	CantoII-1
FC-V500-C	1	1	1	NIBSC	CantoII-1
RCP-30-5A	1	1	1	NIBSC	CantoII-1
APC-cryoPBMC	2	1	1	NIBSC	CantoII-1
APC-Cy7-cryoPBMC	2	1	1	NIBSC	CantoII-1
AqLD-lyoLeuk	2	1	1	NIBSC	CantoII-1
AxPB-lyoLeuk	2	1	1	NIBSC	CantoII-1
FITC-cryoPBMC	2	1	1	NIBSC	CantoII-1
PE-cryoPBMC	2	1	1	NIBSC	CantoII-1
PE-Cy7-cryoPBMC	2	1	1	NIBSC	CantoII-1
PerCP-Cy5.5-cryoPBMC	2	1	1	NIBSC	CantoII-1
APC-AbCTotal	2	2	1	NIBSC	CantoII-1
APC-Cy7-AbCTotal	2	2	1	NIBSC	CantoII-1
FITC-AbCTotal	2	2	1	NIBSC	CantoII-1
PE-AbCTotal	2	2	1	NIBSC	CantoII-1
PE-Cy7-AbCTotal	2	2	1	NIBSC	CantoII-1
PerCP-Cy5.5-AbCTotal	2	2	1	NIBSC	CantoII-1
APC-Versacmp	2	3	1	NIBSC	CantoII-1
APC-Cy7-Versacmp	2	3	1	NIBSC	CantoII-1
FITC-Versacmp	2	3	1	NIBSC	CantoII-1
PE-Versacmp	2	3	1	NIBSC	CantoII-1
PE-Cy7-Versacmp	2	3	1	NIBSC	CantoII-1
PerCP-Cy5.5-Versacmp	2	3	1	NIBSC	CantoII-1
AqBead	2	4	1	NIBSC	CantoII-1
PBBead	2	4	1	NIBSC	CantoII-1
cryoPBMC-APC-CD14-fmo	3	1	1	NIBSC	CantoII-1
cryoPBMC-APC-CD19-fmo	3	1	1	NIBSC	CantoII-1
cryoPBMC-APC-Cy7-fmo	3	1	1	NIBSC	CantoII-1
cryoPBMC-AqLD-fmo	3	1	1	NIBSC	CantoII-1
cryoPBMC-AxPB-fmo	3	1	1	NIBSC	CantoII-1
cryoPBMC-FITC-fmo	3	1	1	NIBSC	CantoII-1
cryoPBMC-PE-Cy7-fmo	3	1	1	NIBSC	CantoII-1
cryoPBMC-PE-fmo	3	1	1	NIBSC	CantoII-1
cryoPBMC-PerCP-Cy5.5-fmo	3	1	1	NIBSC	CantoII-1
panel1-cryoPBMC-1	3	1	1	NIBSC	CantoII-1
panel1-cryoPBMC-1	3	1	2	NIBSC	CantoII-1
panel1-cryoPBMC-1	3	1	3	NIBSC	CantoII-1
panel1-cryoPBMC-2	3	1	1	NIBSC	CantoII-1
panel1-cryoPBMC-2	3	1	2	NIBSC	CantoII-1
panel1-cryoPBMC-2	3	1	3	NIBSC	CantoII-1
panel1-cryoPBMC-3	3	1	1	NIBSC	CantoII-1
panel1-cryoPBMC-3	3	1	2	NIBSC	CantoII-1
panel1-cryoPBMC-3	3	1	3	NIBSC	CantoII-1
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	1	NIBSC	CantoII-1
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	2	NIBSC	CantoII-1
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	1	NIBSC	CantoII-1
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	2	NIBSC	CantoII-1
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	1	NIBSC	CantoII-1
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	2	NIBSC	CantoII-1
TruCount-CD45-TruCytes	3	3	1	NIBSC	CantoII-1
TruCount-CD45-TruCytes	3	3	2	NIBSC	CantoII-1
panel1-TruCytes	3	4	1	NIBSC	CantoII-1
panel1-TruCytes	3	4	2	NIBSC	CantoII-1
panel1-TruCytes	3	4	3	NIBSC	CantoII-1
FC-APC-Cy7	1	1	1	NIBSC	CantoII-2
FC-APC	1	1	1	NIBSC	CantoII-2
FC-FITC	1	1	1	NIBSC	CantoII-2
FC-PE-Cy7	1	1	1	NIBSC	CantoII-2
FC-PerCP-Cy5.5	1	1	1	NIBSC	CantoII-2
FC-PE	1	1	1	NIBSC	CantoII-2
FC-V450	1	1	1	NIBSC	CantoII-2
FC-V500-C	1	1	1	NIBSC	CantoII-2
RCP-30-5A	1	1	1	NIBSC	CantoII-2
APC-cryoPBMC	2	1	1	NIBSC	CantoII-2
APC-Cy7-cryoPBMC	2	1	1	NIBSC	CantoII-2
AqLD-lyoLeuk	2	1	1	NIBSC	CantoII-2
AxPB-lyoLeuk	2	1	1	NIBSC	CantoII-2
FITC-cryoPBMC	2	1	1	NIBSC	CantoII-2
PE-cryoPBMC	2	1	1	NIBSC	CantoII-2
PE-Cy7-cryoPBMC	2	1	1	NIBSC	CantoII-2
PerCP-Cy5.5-cryoPBMC	2	1	1	NIBSC	CantoII-2
APC-AbCTotal	2	2	1	NIBSC	CantoII-2
APC-Cy7-AbCTotal	2	2	1	NIBSC	CantoII-2
FITC-AbCTotal	2	2	1	NIBSC	CantoII-2
PE-AbCTotal	2	2	1	NIBSC	CantoII-2
PE-Cy7-AbCTotal	2	2	1	NIBSC	CantoII-2
PerCP-Cy5.5-AbCTotal	2	2	1	NIBSC	CantoII-2
APC-Versacmp	2	3	1	NIBSC	CantoII-2
APC-Cy7-Versacmp	2	3	1	NIBSC	CantoII-2
FITC-Versacmp	2	3	1	NIBSC	CantoII-2
PE-Versacmp	2	3	1	NIBSC	CantoII-2
PE-Cy7-Versacmp	2	3	1	NIBSC	CantoII-2
PerCP-Cy5.5-Versacmp	2	3	1	NIBSC	CantoII-2
AqBead	2	4	1	NIBSC	CantoII-2
PBBead	2	4	1	NIBSC	CantoII-2
cryoPBMC-APC-CD14-fmo	3	1	1	NIBSC	CantoII-2
cryoPBMC-APC-CD19-fmo	3	1	1	NIBSC	CantoII-2
cryoPBMC-APC-Cy7-fmo	3	1	1	NIBSC	CantoII-2
cryoPBMC-AqLD-fmo	3	1	1	NIBSC	CantoII-2
cryoPBMC-AxPB-fmo	3	1	1	NIBSC	CantoII-2
cryoPBMC-FITC-fmo	3	1	1	NIBSC	CantoII-2
cryoPBMC-PE-Cy7-fmo	3	1	1	NIBSC	CantoII-2
cryoPBMC-PE-fmo	3	1	1	NIBSC	CantoII-2
cryoPBMC-PerCP-Cy5.5-fmo	3	1	1	NIBSC	CantoII-2
panel1-cryoPBMC-1	3	1	1	NIBSC	CantoII-2
panel1-cryoPBMC-1	3	1	2	NIBSC	CantoII-2
panel1-cryoPBMC-1	3	1	3	NIBSC	CantoII-2
panel1-cryoPBMC-2	3	1	1	NIBSC	CantoII-2
panel1-cryoPBMC-2	3	1	2	NIBSC	CantoII-2
panel1-cryoPBMC-2	3	1	3	NIBSC	CantoII-2
panel1-cryoPBMC-3	3	1	1	NIBSC	CantoII-2
panel1-cryoPBMC-3	3	1	2	NIBSC	CantoII-2
panel1-cryoPBMC-3	3	1	3	NIBSC	CantoII-2
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	1	NIBSC	CantoII-2
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	2	NIBSC	CantoII-2
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	1	NIBSC	CantoII-2
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	2	NIBSC	CantoII-2
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	1	NIBSC	CantoII-2
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	2	NIBSC	CantoII-2
TruCount-CD45-TruCytes	3	3	1	NIBSC	CantoII-2
TruCount-CD45-TruCytes	3	3	2	NIBSC	CantoII-2
panel1-TruCytes	3	4	1	NIBSC	CantoII-2
panel1-TruCytes	3	4	2	NIBSC	CantoII-2
panel1-TruCytes	3	4	3	NIBSC	CantoII-2
FC-APC-Cy7	1	1	1	NISTGB-LW	AttuneNXT
FC-APC	1	1	1	NISTGB-LW	AttuneNXT
FC-FITC	1	1	1	NISTGB-LW	AttuneNXT
FC-PE-Cy7	1	1	1	NISTGB-LW	AttuneNXT
FC-PerCP-Cy5.5	1	1	1	NISTGB-LW	AttuneNXT
FC-PE	1	1	1	NISTGB-LW	AttuneNXT
FC-V450	1	1	1	NISTGB-LW	AttuneNXT
FC-V500-C	1	1	1	NISTGB-LW	AttuneNXT
RCP-30-5A	1	1	1	NISTGB-LW	AttuneNXT
APC-cryoPBMC	2	1	1	NISTGB-LW	AttuneNXT
APC-Cy7-cryoPBMC	2	1	1	NISTGB-LW	AttuneNXT
AqLD-lyoLeuk	2	1	1	NISTGB-LW	AttuneNXT
AxPB-lyoLeuk	2	1	1	NISTGB-LW	AttuneNXT
FITC-cryoPBMC	2	1	1	NISTGB-LW	AttuneNXT
PE-cryoPBMC	2	1	1	NISTGB-LW	AttuneNXT
PE-Cy7-cryoPBMC	2	1	1	NISTGB-LW	AttuneNXT
PerCP-Cy5.5-cryoPBMC	2	1	1	NISTGB-LW	AttuneNXT
APC-AbCTotal	2	2	1	NISTGB-LW	AttuneNXT
APC-Cy7-AbCTotal	2	2	1	NISTGB-LW	AttuneNXT
FITC-AbCTotal	2	2	1	NISTGB-LW	AttuneNXT
PE-AbCTotal	2	2	1	NISTGB-LW	AttuneNXT
PE-Cy7-AbCTotal	2	2	1	NISTGB-LW	AttuneNXT
PerCP-Cy5.5-AbCTotal	2	2	1	NISTGB-LW	AttuneNXT
APC-Versacmp	2	3	1	NISTGB-LW	AttuneNXT
APC-Cy7-Versacmp	2	3	1	NISTGB-LW	AttuneNXT
FITC-Versacmp	2	3	1	NISTGB-LW	AttuneNXT
PE-Versacmp	2	3	1	NISTGB-LW	AttuneNXT
PE-Cy7-Versacmp	2	3	1	NISTGB-LW	AttuneNXT
PerCP-Cy5.5-Versacmp	2	3	1	NISTGB-LW	AttuneNXT
AqBead	2	4	1	NISTGB-LW	AttuneNXT
PBBead	2	4	1	NISTGB-LW	AttuneNXT
cryoPBMC-APC-CD14-fmo	3	1	1	NISTGB-LW	AttuneNXT
cryoPBMC-APC-CD19-fmo	3	1	1	NISTGB-LW	AttuneNXT
cryoPBMC-APC-Cy7-fmo	3	1	1	NISTGB-LW	AttuneNXT
cryoPBMC-AqLD-fmo	3	1	1	NISTGB-LW	AttuneNXT
cryoPBMC-AxPB-fmo	3	1	1	NISTGB-LW	AttuneNXT
cryoPBMC-FITC-fmo	3	1	1	NISTGB-LW	AttuneNXT
cryoPBMC-PE-Cy7-fmo	3	1	1	NISTGB-LW	AttuneNXT
cryoPBMC-PE-fmo	3	1	1	NISTGB-LW	AttuneNXT
cryoPBMC-PerCP-Cy5.5-fmo	3	1	1	NISTGB-LW	AttuneNXT
panel1-cryoPBMC-1	3	1	1	NISTGB-LW	AttuneNXT
panel1-cryoPBMC-1	3	1	2	NISTGB-LW	AttuneNXT
panel1-cryoPBMC-1	3	1	3	NISTGB-LW	AttuneNXT
panel1-cryoPBMC-2	3	1	1	NISTGB-LW	AttuneNXT
panel1-cryoPBMC-2	3	1	2	NISTGB-LW	AttuneNXT
panel1-cryoPBMC-2	3	1	3	NISTGB-LW	AttuneNXT
panel1-cryoPBMC-3	3	1	1	NISTGB-LW	AttuneNXT
panel1-cryoPBMC-3	3	1	2	NISTGB-LW	AttuneNXT
panel1-cryoPBMC-3	3	1	3	NISTGB-LW	AttuneNXT
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	1	NISTGB-LW	AttuneNXT
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	2	NISTGB-LW	AttuneNXT
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	1	NISTGB-LW	AttuneNXT
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	2	NISTGB-LW	AttuneNXT
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	1	NISTGB-LW	AttuneNXT
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	2	NISTGB-LW	AttuneNXT
TruCount-CD45-TruCytes	3	3	1	NISTGB-LW	AttuneNXT
TruCount-CD45-TruCytes	3	3	2	NISTGB-LW	AttuneNXT
panel1-TruCytes	3	4	1	NISTGB-LW	AttuneNXT
panel1-TruCytes	3	4	2	NISTGB-LW	AttuneNXT
panel1-TruCytes	3	4	3	NISTGB-LW	AttuneNXT
FC-APC-Cy7	1	1	1	NISTGB-LW	CytoflexLX
FC-APC	1	1	1	NISTGB-LW	CytoflexLX
FC-FITC	1	1	1	NISTGB-LW	CytoflexLX
FC-PE-Cy7	1	1	1	NISTGB-LW	CytoflexLX
FC-PerCP-Cy5.5	1	1	1	NISTGB-LW	CytoflexLX
FC-PE	1	1	1	NISTGB-LW	CytoflexLX
FC-V450	1	1	1	NISTGB-LW	CytoflexLX
FC-V500-C	1	1	1	NISTGB-LW	CytoflexLX
RCP-30-5A	1	1	1	NISTGB-LW	CytoflexLX
APC-cryoPBMC	2	1	1	NISTGB-LW	CytoflexLX
APC-Cy7-cryoPBMC	2	1	1	NISTGB-LW	CytoflexLX
AqLD-lyoLeuk	2	1	1	NISTGB-LW	CytoflexLX
AxPB-lyoLeuk	2	1	1	NISTGB-LW	CytoflexLX
FITC-cryoPBMC	2	1	1	NISTGB-LW	CytoflexLX
PE-cryoPBMC	2	1	1	NISTGB-LW	CytoflexLX
PE-Cy7-cryoPBMC	2	1	1	NISTGB-LW	CytoflexLX
PerCP-Cy5.5-cryoPBMC	2	1	1	NISTGB-LW	CytoflexLX
APC-AbCTotal	2	2	1	NISTGB-LW	CytoflexLX
APC-Cy7-AbCTotal	2	2	1	NISTGB-LW	CytoflexLX
FITC-AbCTotal	2	2	1	NISTGB-LW	CytoflexLX
PE-AbCTotal	2	2	1	NISTGB-LW	CytoflexLX
PE-Cy7-AbCTotal	2	2	1	NISTGB-LW	CytoflexLX
PerCP-Cy5.5-AbCTotal	2	2	1	NISTGB-LW	CytoflexLX
APC-Versacmp	2	3	1	NISTGB-LW	CytoflexLX
APC-Cy7-Versacmp	2	3	1	NISTGB-LW	CytoflexLX
FITC-Versacmp	2	3	1	NISTGB-LW	CytoflexLX
PE-Versacmp	2	3	1	NISTGB-LW	CytoflexLX
PE-Cy7-Versacmp	2	3	1	NISTGB-LW	CytoflexLX
PerCP-Cy5.5-Versacmp	2	3	1	NISTGB-LW	CytoflexLX
AqBead	2	4	1	NISTGB-LW	CytoflexLX
PBBead	2	4	1	NISTGB-LW	CytoflexLX
cryoPBMC-APC-CD14-fmo	3	1	1	NISTGB-LW	CytoflexLX
cryoPBMC-APC-CD19-fmo	3	1	1	NISTGB-LW	CytoflexLX
cryoPBMC-APC-Cy7-fmo	3	1	1	NISTGB-LW	CytoflexLX
cryoPBMC-AqLD-fmo	3	1	1	NISTGB-LW	CytoflexLX
cryoPBMC-AxPB-fmo	3	1	1	NISTGB-LW	CytoflexLX
cryoPBMC-FITC-fmo	3	1	1	NISTGB-LW	CytoflexLX
cryoPBMC-PE-Cy7-fmo	3	1	1	NISTGB-LW	CytoflexLX
cryoPBMC-PE-fmo	3	1	1	NISTGB-LW	CytoflexLX
cryoPBMC-PerCP-Cy5.5-fmo	3	1	1	NISTGB-LW	CytoflexLX
panel1-cryoPBMC-1	3	1	1	NISTGB-LW	CytoflexLX
panel1-cryoPBMC-1	3	1	2	NISTGB-LW	CytoflexLX
panel1-cryoPBMC-1	3	1	3	NISTGB-LW	CytoflexLX
panel1-cryoPBMC-2	3	1	1	NISTGB-LW	CytoflexLX
panel1-cryoPBMC-2	3	1	2	NISTGB-LW	CytoflexLX
panel1-cryoPBMC-2	3	1	3	NISTGB-LW	CytoflexLX
panel1-cryoPBMC-3	3	1	1	NISTGB-LW	CytoflexLX
panel1-cryoPBMC-3	3	1	2	NISTGB-LW	CytoflexLX
panel1-cryoPBMC-3	3	1	3	NISTGB-LW	CytoflexLX
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	1	NISTGB-LW	CytoflexLX
AqLD-TruCount-CD45-AxPB-cryoPBMC-1	3	2	2	NISTGB-LW	CytoflexLX
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	1	NISTGB-LW	CytoflexLX
AqLD-TruCount-CD45-AxPB-cryoPBMC-2	3	2	2	NISTGB-LW	CytoflexLX
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	1	NISTGB-LW	CytoflexLX
AqLD-TruCount-CD45-AxPB-cryoPBMC-3	3	2	2	NISTGB-LW	CytoflexLX
TruCount-CD45-TruCytes	3	3	1	NISTGB-LW	CytoflexLX
TruCount-CD45-TruCytes	3	3	2	NISTGB-LW	CytoflexLX
panel1-TruCytes	3	4	1	NISTGB-LW	CytoflexLX
panel1-TruCytes	3	4	2	NISTGB-LW	CytoflexLX
panel1-TruCytes	3	4	3	NISTGB-LW	CytoflexLX
FC-APC-Cy7	1	1	1	Q2LabSol	Aurora-2
FC-APC	1	1	1	Q2LabSol	Aurora-2
FC-FITC	1	1	1	Q2LabSol	Aurora-2
FC-PE-Cy7	1	1	1	Q2LabSol	Aurora-2
FC-PerCP-Cy5.5	1	1	1	Q2LabSol	Aurora-2
FC-PE	1	1	1	Q2LabSol	Aurora-2
FC-V450	1	1	1	Q2LabSol	Aurora-2
FC-V500-C	1	1	1	Q2LabSol	Aurora-2
RCP-30-5A	1	1	1	Q2LabSol	Aurora-2
APC-cryoPBMC	2	1	1	Q2LabSol	Aurora-2
APC-Cy7-cryoPBMC	2	1	1	Q2LabSol	Aurora-2
AqLD-lyoLeuk	2	1	1	Q2LabSol	Aurora-2
